Country,Year,Y,Ymu,Yvar,YmuMinus,YmuPlus,AE,APE,CI
BFA,2017,8217.0,7940.886325225211,0.05935567169577808,7198.645734798958,8683.126915651465,276.0,3.0,1484.0
BFA,2018,16340.0,9776.22159968947,0.1291609152050572,8681.309776433854,10871.13342294509,6564.0,40.0,2190.0
BFA,2019,,11750.62142711372,0.2814901276377756,10134.23508328393,13367.00777094352,,,3233.0
BFA,2020,,13800.31751970936,0.5730580282025474,11494.03297207719,16106.60206734153,,,4613.0
BFA,2021,,15852.73822330856,1.076999733574711,12691.03292828527,19014.44351833185,,,6323.0
BFA,2022,,17831.10687790217,1.878083276457788,13655.96717946039,22006.24657634393,,,8350.0
BFA,2023,,19659.37762804081,3.06402388498036,14326.52402247917,24992.23123360245,,,10666.0
BGD,2017,84867.0,43501.8487480387,0.5013808912848128,17216.33959666531,69787.35789941208,41365.0,49.0,52571.0
BGD,2018,79804.0,42786.32850295671,0.9533821413764376,6539.83401289241,79032.82299302101,37018.0,46.0,72493.0
BGD,2019,,40569.25571567471,1.744380920469343,-8459.759323548336,89598.27075489775,,,98058.0
BGD,2020,,37446.60607926326,2.885718154283162,-25614.19167935334,100507.4038378799,,,126122.0
BGD,2021,,34030.1506302315,4.289499338253569,-42853.82056030777,110914.1218207708,,,153768.0
BGD,2022,,30825.10745282048,5.792301863485037,-58517.39199796694,120167.6069036079,,,178685.0
BGD,2023,,28162.93703769612,7.212527351135367,-71532.72031331071,127858.5943887029,,,199391.0
CAF,2017,558495.0,590792.4135165638,0.08537421294414875,506236.54115959,675348.2858735377,32297.0,6.0,169112.0
CAF,2018,608108.0,659577.91389726,0.1458346273849859,549065.5811880247,770090.2466064953,51470.0,8.0,221025.0
CAF,2019,,718586.56109946,0.2548589063814357,572493.2522140922,864679.8699848279,,,292187.0
CAF,2020,,764270.416399099,0.428861459580148,574757.450837861,953783.381960337,,,379026.0
CAF,2021,,794028.2524380974,0.6801905567955083,555359.4152983607,1032697.089577834,,,477338.0
CAF,2022,,806435.3232526353,1.013566031132067,515091.0797608932,1097779.566744377,,,582688.0
CAF,2023,,801329.2923162964,1.423834046787119,456018.5375143006,1146640.047118292,,,690622.0
CIV,2017,66491.0,88735.01947191167,0.450244244360441,32397.88094500065,145072.1579988227,22244.0,33.0,112674.0
CIV,2018,61079.0,87315.86223545464,0.4856498472474466,28805.56182891985,145826.1626419894,26237.0,43.0,117021.0
CIV,2019,,85018.07242635185,0.5290628817448104,23948.57496265597,146087.5698900477,,,122139.0
CIV,2020,,81987.0304128539,0.5799339502077301,18048.89507902307,145925.1657466847,,,127876.0
CIV,2021,,78384.3757134564,0.6371250626243534,11367.67485443051,145401.0765724823,,,134033.0
CIV,2022,,74378.33731772716,0.6989998307591082,4182.843280814435,144573.8313546399,,,140391.0
CIV,2023,,70134.58550826368,0.7635760123467792,-3231.751762692118,143500.9227792195,,,146733.0
CMR,2017,35590.0,25312.19934099312,0.03415926152724168,22676.3960653168,27948.00261666945,10278.0,29.0,5272.0
CMR,2018,63693.0,30152.48416807217,0.1227283600411841,25156.38302049955,35148.58531564479,33541.0,53.0,9992.0
CMR,2019,,34608.54366478044,0.3452345844164431,26229.08613004832,42988.00119951256,,,16759.0
CMR,2020,,37804.24093658813,0.7661283666850685,25321.51233752079,50286.96953565547,,,24965.0
CMR,2021,,39152.43471825707,1.405179173238055,22247.06750298745,56057.80193352669,,,33811.0
CMR,2022,,38484.0317048795,2.213202702856539,17267.74611852625,59700.31729123276,,,42433.0
CMR,2023,,36037.24700477108,3.084341425415931,10991.15450657409,61083.33950296807,,,50092.0
COD,2017,756911.0,622976.2606868173,0.05010990937761475,536728.4766660184,709224.0447076163,133935.0,18.0,172496.0
COD,2018,853673.0,619158.1286890901,0.1200118251004329,485683.6734464963,752632.583931684,234515.0,27.0,266949.0
COD,2019,,601017.8871597557,0.2447568598054709,410404.4234607065,791631.3508588049,,,381227.0
COD,2020,,569396.3534384909,0.4108757372960353,322427.9552127966,816364.7516641852,,,493937.0
COD,2021,,529121.3527445643,0.584633268703377,234524.6379392903,823718.0675498383,,,589193.0
COD,2022,,486772.975474585,0.7318035755601554,157175.8614198614,816370.0895293085,,,659194.0
COD,2023,,448214.8044088709,0.8347580976801648,96195.51886670978,800234.089951032,,,704039.0
COG,2017,26313.0,19100.30154034836,0.160278461429435,9508.778026963773,28691.82505373295,7213.0,27.0,19183.0
COG,2018,25017.0,19786.66751370884,0.2398567050245005,8053.211622426668,31520.12340499102,5230.0,21.0,23467.0
COG,2019,,20145.63619306001,0.3514620772941291,5942.336555506507,34348.93583061353,,,28407.0
COG,2020,,20177.19118959925,0.4796677032162929,3584.369268655606,36770.01311054288,,,33186.0
COG,2021,,19958.2858088256,0.603491438604457,1346.6061006891,38569.96551696209,,,37223.0
COG,2022,,19599.14699402779,0.7057455978219742,-527.6238686162324,39725.9178566718,,,40254.0
COG,2023,,19203.63546022143,0.7787830997827155,-1938.958658730175,40346.22957917303,,,42285.0
COL,2017,224072.0,272710.1888412125,0.247265244447669,79020.08854988255,466400.2891325426,48638.0,22.0,387380.0
COL,2018,184227.0,238727.9635608817,0.3087690927977367,22285.33637594525,455170.5907458182,54501.0,30.0,432885.0
COL,2019,,210803.5051632993,0.3926193823005005,-33265.00694137404,454872.0172679727,,,488137.0
COL,2020,,189568.4866146795,0.4954376981921035,-84601.81544029282,463738.788669652,,,548341.0
COL,2021,,174790.6756112518,0.6102690257974406,-129498.5323859859,479079.8836084894,,,608578.0
COL,2022,,165633.8589557761,0.7281116061007148,-166738.471932268,498006.1898438203,,,664745.0
COL,2023,,160934.9382783001,0.8399513980139565,-196052.5247769445,517922.4013335448,,,713975.0
DJI,2017,3019.0,2027.053397710621,0.95120474866038,-8498.982737488112,12553.08953290935,992.0,33.0,21052.0
DJI,2018,3207.0,2183.892291404088,0.9629641218448122,-8407.00862404233,12774.79320685051,1023.0,32.0,21182.0
DJI,2019,,2331.624197116559,0.9753103619635698,-8326.953879998795,12990.20227423191,,,21317.0
DJI,2020,,2466.955408850503,0.9877650693253405,-8259.461767536546,13193.37258523755,,,21453.0
DJI,2021,,2587.887683993158,0.9998541582816194,-8203.969273927269,13379.74464191359,,,21584.0
DJI,2022,,2693.533445593276,1.011157760020521,-8159.154391658289,13546.22128284484,,,21705.0
DJI,2023,,2783.90229564707,1.021348810164155,-8123.338358164221,13691.14294945836,,,21814.0
EGY,2017,36638.0,38326.19148110802,0.0468758356824224,34492.42105341532,42159.96190880073,1688.0,5.0,7668.0
EGY,2018,41549.0,41344.59636586689,0.1004790129151938,35731.67094904516,46957.52178268862,204.0,0.0,11226.0
EGY,2019,,43119.29997053975,0.2121319570441354,34963.72394057734,51274.87600050218,,,16311.0
EGY,2020,,43526.37835309609,0.4123003520107349,32156.43124865698,54896.32545753522,,,22740.0
