Country,Year,Y,Ymu,Yvar,YmuMinus,YmuPlus,AE,APE,CI
CAF,2022,,1363273.27538192,1.106677355000627,1058840.83455456,1667705.716209281,,,608865.0
CIV,2017,66491.0,91893.88115003167,0.3415354890360314,42826.98136187586,140960.7809381874,25403.0,38.0,98134.0
CIV,2018,61079.0,92556.79659764524,0.3479920762955149,43028.27356367605,142085.3196316144,31478.0,52.0,99057.0
CIV,2019,,92528.54975001253,0.3576007493820395,42320.89797656435,142736.2015234607,,,100415.0
CIV,2020,,91839.94669507648,0.3711724436202042,40688.42444240008,142991.4689477528,,,102303.0
CIV,2021,,90535.98583589931,0.3895217955220625,38135.34703415712,142936.6246376415,,,104801.0
CIV,2022,,88674.10569657823,0.4134138818639106,34690.3336028685,142657.877790288,,,107968.0
CIV,2023,,86322.08139732167,0.4435081055362027,30407.96317754296,142236.1996171004,,,111828.0
CMR,2017,35590.0,22366.90222611926,0.03955494411777841,19530.5566445498,25203.24780768871,13223.0,37.0,5673.0
CMR,2018,63693.0,25306.89274361217,0.08011025555913412,21270.41264760891,29343.37283961542,38386.0,60.0,8073.0
CMR,2019,,28793.47810759852,0.1676457596399351,22954.25535015103,34632.700865046,,,11678.0
CMR,2020,,32687.09463050121,0.3325465131743925,24463.05951607516,40911.12974492727,,,16448.0
CMR,2021,,36804.42072039349,0.6115135812347424,25652.18834431305,47956.65309647394,,,22304.0
CMR,2022,,40934.865865159,1.043403017707735,26367.37343989265,55502.35829042536,,,29135.0
CMR,2023,,44859.11936925016,1.663423937562008,26465.79498260382,63252.44375589651,,,36787.0
COD,2017,756911.0,724455.909103446,0.08219457152365836,613995.2310584453,834916.5871484468,32455.0,4.0,220921.0
COD,2018,853673.0,765763.2384672875,0.08319208771330308,654634.3044796432,876892.1724549317,87910.0,10.0,222258.0
COD,2019,,809213.857864204,0.0857938776026129,696360.552075634,922067.163652774,,,225707.0
COD,2020,,853895.2349548265,0.09152955164249063,737330.600974938,970459.8689347149,,,233129.0
COD,2021,,898756.8169442383,0.1027497948109829,775254.0696622438,1022259.564226233,,,247005.0
COD,2022,,942661.8816996096,0.1227663988416511,807664.3290949245,1077659.434304295,,,269995.0
COD,2023,,984442.8785326027,0.1558990529083862,832315.3270651896,1136570.430000016,,,304255.0
COG,2017,26313.0,25839.49657018336,0.2019258787116439,15073.70409141582,36605.2890489509,474.0,2.0,21532.0
COG,2018,25017.0,31951.19581087429,0.3228439443778609,18338.43117243628,45563.96044931231,6934.0,28.0,27226.0
COG,2019,,39238.63221039702,0.5485341761150079,21494.61871987896,56982.64570091507,,,35488.0
COG,2020,,47505.93008786082,0.9350983102162996,24338.45794547446,70673.40223024719,,,46335.0
COG,2021,,56512.40109064947,1.552606849267657,26659.89729513676,86364.90488616217,,,59705.0
COG,2022,,65985.32253682977,2.482870477823194,28234.44550230864,103736.1995713509,,,75502.0
COL,2017,224072.0,202233.8888747332,0.2520038075287528,6696.668537375779,397771.1092120907,21838.0,10.0,391074.0
COL,2018,184227.0,76786.35630344308,0.3172402064371779,-142605.2448903498,296177.9574972361,107441.0,58.0,438783.0
COL,2019,,-70705.49848388368,0.4352858566838206,-327693.6875444259,186282.6905766585,,,513976.0
COL,2020,,-237440.7745313713,0.6363763267130492,-548170.5660161561,73289.01695341356,,,621460.0
COL,2021,,-419832.9830333629,0.9602422142066173,-801527.8179584859,-38138.14810823993,,,763390.0
COL,2022,,-613658.176161579,1.455948295573735,-1083659.26283133,-143657.0894918278,,,940002.0
COL,2023,,-814230.3658353332,2.180581615782687,-1389421.335352909,-239039.3963177578,,,1150382.0
DJI,2017,3019.0,-1516.223090843128,0.8607379954501955,-11529.20286536021,8496.756683673953,4535.0,150.0,20026.0
DJI,2018,3207.0,-2035.901790511969,0.866615998623555,-12083.01284886833,8011.209267844393,5243.0,163.0,20094.0
DJI,2019,,-2474.644893749861,0.8787906458882767,-12592.0831914942,7642.793403994476,,,20235.0
DJI,2020,,-2798.303080684217,0.8998325280200449,-13036.15151875076,7439.545357382325,,,20476.0
DJI,2021,,-2982.735608832732,0.9316838613271634,-13400.20272097443,7434.731503308959,,,20835.0
DJI,2022,,-3015.944288325382,0.9750708928653326,-13673.21377851659,7641.325201865822,,,21315.0
DJI,2023,,-2898.521977128641,1.029175348661405,-13847.47366199965,8050.429707742369,,,21898.0
EGY,2017,36638.0,40695.40986707107,0.06471334646865112,36190.88985357042,45199.9298805717,4057.0,11.0,9009.0
EGY,2018,41549.0,47052.87021475872,0.1106997284683622,41161.38395337327,52944.35647614418,5504.0,13.0,11783.0
EGY,2019,,53538.07203400065,0.1988093969548081,45642.7464229449,61433.39764505639,,,15791.0
EGY,2020,,59952.93033630149,0.3517747893197274,49450.64176391711,70455.21890868589,,,21005.0
EGY,2021,,66094.95089453581,0.5972790588257488,52410.09477772079,79779.80701135083,,,27370.0
EGY,2022,,71768.05730916974,0.9664137731556373,54360.68785585486,89175.42676248463,,,34815.0
EGY,2023,,76792.77998380111,1.491243729900412,55169.28415801491,98416.2758095873,,,43247.0
ERI,2017,564475.0,531889.0027877395,0.7578884402221941,317150.0216972888,746627.9838781903,32586.0,6.0,429478.0
ERI,2018,585765.0,562561.1637346924,0.8566089943968751,334264.5016697581,790857.8257996265,23204.0,4.0,456593.0
ERI,2019,,585954.9445573678,0.994800229979171,339931.6753983363,831978.2137163995,,,492047.0
ERI,2020,,601492.925358556,1.175679145426894,334036.7351943116,868949.1155228005,,,534912.0
